User_id;Technique;Command;Frequence;Name;Transition_start;Transition_stop;Time;Success;Strategy;Executed_command;block;block_trial;encounter;method_id;method_name
0;traditional;0;72;Pencil;750;750;15.308;1;0;0;0;0;0;0;menu
0;traditional;1;36;Banana;750;750;3.424;1;0;1;0;1;0;0;menu
0;traditional;2;24;Karate;750;750;4.466;1;0;2;0;2;0;0;menu
0;traditional;3;144;Strawberry;750;750;3.737;1;0;3;0;3;0;0;menu
0;traditional;1;36;Banana;750;750;3.055;1;0;1;0;4;1;0;menu
0;traditional;2;24;Karate;750;750;2.729;1;0;2;0;5;1;0;menu
0;traditional;3;144;Strawberry;750;750;2.9;1;0;3;0;6;1;0;menu
0;traditional;4;48;Cards;750;750;3.008;1;0;4;0;7;0;0;menu
0;traditional;5;24;Corn;750;750;3.071;1;0;5;0;8;0;0;menu
0;traditional;3;144;Strawberry;750;750;2.884;1;0;3;0;9;2;0;menu
0;traditional;4;48;Cards;750;750;28.379;1;0;4;0;10;1;0;menu
0;traditional;6;24;Mouse;750;750;2.776;1;0;6;0;11;0;0;menu
0;traditional;3;144;Strawberry;750;750;3.272;1;0;3;0;12;3;0;menu
0;traditional;4;48;Cards;750;750;4.621;1;0;4;0;13;2;0;menu
0;traditional;6;24;Mouse;750;750;2.853;1;0;6;0;14;1;0;menu
0;traditional;3;144;Strawberry;750;750;3.039;1;0;3;0;15;4;0;menu
0;traditional;4;48;Cards;750;750;3.582;1;0;4;0;16;3;0;menu
0;traditional;7;36;Coat;750;750;5.071;1;0;7;0;17;0;0;menu
0;traditional;8;144;Sweater;750;750;3.272;1;0;8;0;18;0;0;menu
0;traditional;0;72;Pencil;750;750;3.272;1;0;0;0;19;1;0;menu
0;traditional;3;144;Strawberry;750;750;6.466;1;0;3;0;20;5;0;menu
0;traditional;8;144;Sweater;750;750;3.118;1;0;8;0;21;1;0;menu
0;traditional;9;48;Garlic;750;750;3.613;1;0;9;0;22;0;0;menu
0;traditional;0;72;Pencil;750;750;2.482;1;0;0;0;23;2;0;menu
0;traditional;8;144;Sweater;750;750;2.078;1;0;8;0;24;2;0;menu
0;traditional;9;48;Garlic;750;750;3.101;1;0;9;0;25;1;0;menu
0;traditional;10;24;Frog;750;750;4.048;1;0;10;0;26;0;0;menu
0;traditional;8;144;Sweater;750;750;2.667;1;0;8;0;27;3;0;menu
0;traditional;9;48;Garlic;750;750;2.714;1;0;9;0;28;2;0;menu
0;traditional;10;24;Frog;750;750;2.527;1;0;10;0;29;1;0;menu
0;traditional;8;144;Sweater;750;750;16.035;1;0;8;0;30;4;0;menu
0;traditional;9;48;Garlic;750;750;4.187;1;2;9;0;31;3;1;hotkey
0;traditional;7;36;Coat;750;750;3.071;1;0;7;0;32;1;0;menu
0;traditional;0;72;Pencil;750;750;3.923;1;0;0;0;33;3;0;menu
0;traditional;3;144;Strawberry;750;750;2.311;1;0;3;0;34;6;0;menu
0;traditional;0;72;Pencil;750;750;2.621;1;0;0;0;35;4;0;menu
0;traditional;8;144;Sweater;750;750;2.9;1;0;8;0;36;5;0;menu
0;traditional;11;72;Dolphin;750;750;2.636;1;0;11;0;37;0;0;menu
0;traditional;8;144;Sweater;750;750;3.318;1;2;8;0;38;6;1;hotkey
0;traditional;8;144;Sweater;750;750;6.017;1;2;8;0;39;7;1;hotkey
0;traditional;11;72;Dolphin;750;750;7.537;1;0;11;0;40;1;0;menu
0;traditional;7;36;Coat;750;750;3.179;1;0;7;0;41;2;0;menu
0;traditional;8;144;Sweater;750;750;3.97;1;2;8;0;42;8;1;hotkey
0;traditional;11;72;Dolphin;750;750;3.598;1;2;11;0;43;2;1;hotkey
0;traditional;0;72;Pencil;750;750;3.691;1;0;0;0;44;5;0;menu
0;traditional;5;24;Corn;750;750;2.9;1;0;5;0;45;1;0;menu
0;traditional;11;72;Dolphin;750;750;4.234;1;0;11;0;46;3;0;menu
0;traditional;8;144;Sweater;750;750;3.443;1;0;8;0;47;9;0;menu
0;traditional;3;144;Strawberry;750;750;2.482;1;0;3;0;48;7;0;menu
0;traditional;11;72;Dolphin;750;750;2.512;1;0;11;0;49;4;0;menu
0;traditional;11;72;Dolphin;750;750;4.621;1;0;11;0;50;5;0;menu
0;traditional;3;144;Strawberry;750;750;2.792;1;0;3;0;51;8;0;menu
0;traditional;8;144;Sweater;750;750;2.404;1;0;8;0;52;10;0;menu
0;traditional;3;144;Strawberry;750;750;2.218;1;0;3;0;53;9;0;menu
0;traditional;1;36;Banana;750;750;2.233;1;0;1;0;54;2;0;menu
0;traditional;3;144;Strawberry;750;750;2.327;1;0;3;0;55;10;0;menu
0;traditional;12;12;Clock;750;750;2.187;1;0;12;0;56;0;0;menu
0;traditional;13;12;Camel;750;750;2.528;1;0;13;0;57;0;0;menu
0;traditional;8;144;Sweater;750;750;7.509;0;0;8;0;58;11;0;menu
0;traditional;3;144;Strawberry;750;750;2.427;1;0;3;0;59;11;0;menu
